Init.,K,SDP obj.,Sample obj.,PEP obj.,SDP solvetime(s),SDP improv.,Samp improv.
CS,1,$2.14 \times 10^{2}$,$2.13 \times 10^{2}$,$2.90 \times 10^{2}$,$5.45 \times 10^{1}$,1.35,1.36
,2,$1.49 \times 10^{1}$,$1.43 \times 10^{1}$,$1.41 \times 10^{2}$,$3.44 \times 10^{2}$,9.52,9.88
,3,7.17,7.03,$7.24 \times 10^{1}$,$1.17 \times 10^{3}$,$1.01 \times 10^{1}$,$1.03 \times 10^{1}$
,4,4.86,4.76,$3.30 \times 10^{1}$,$5.19 \times 10^{3}$,6.80,6.93
,5,3.03,2.43,$1.98 \times 10^{1}$,$9.88 \times 10^{3}$,6.55,8.17
WS,1,$1.89 \times 10^{2}$,$1.87 \times 10^{2}$,$2.44 \times 10^{2}$,$3.71 \times 10^{1}$,1.29,1.30
,2,$2.07 \times 10^{1}$,$2.00 \times 10^{1}$,$9.78 \times 10^{1}$,$2.72 \times 10^{2}$,4.72,4.90
,3,7.77,7.54,$5.64 \times 10^{1}$,$1.45 \times 10^{3}$,7.27,7.48
,4,5.27,5.08,$1.94 \times 10^{1}$,$4.31 \times 10^{3}$,3.68,3.81
,5,2.70,1.96,$1.41 \times 10^{1}$,$7.58 \times 10^{3}$,5.22,7.19
HS,1,$1.79 \times 10^{2}$,$1.78 \times 10^{2}$,$2.66 \times 10^{2}$,$6.42 \times 10^{1}$,1.48,1.50
,2,$2.04 \times 10^{1}$,$1.99 \times 10^{1}$,$1.19 \times 10^{2}$,$2.53 \times 10^{2}$,5.82,5.96
,3,9.11,8.95,$2.92 \times 10^{1}$,$1.37 \times 10^{3}$,3.21,3.27
,4,6.16,6.04,$2.83 \times 10^{1}$,$4.68 \times 10^{3}$,4.59,4.68
,5,3.22,2.67,$1.71 \times 10^{1}$,$8.73 \times 10^{3}$,5.31,6.40
