Sched,K,t,SDP obj,Sample Obj,PEP obj,SDP solve time(s),SDP improv,Samp improv
Nonstrongly cvx.,1,$1.41 \times 10^{-2}$,$8.81 \times 10^{1}$,$8.75 \times 10^{1}$,$6.79 \times 10^{2}$,$6.80 \times 10^{1}$,7.71,7.76
,2,$2.00 \times 10^{-2}$,$2.81 \times 10^{1}$,$2.79 \times 10^{1}$,$2.99 \times 10^{2}$,$1.50 \times 10^{2}$,$1.06 \times 10^{1}$,$1.07 \times 10^{1}$
,3,$1.41 \times 10^{-2}$,3.01,2.97,$1.47 \times 10^{2}$,$2.67 \times 10^{2}$,$4.87 \times 10^{1}$,$4.93 \times 10^{1}$
,4,$3.41 \times 10^{-2}$,8.16,8.06,$1.48 \times 10^{2}$,$3.85 \times 10^{2}$,$1.81 \times 10^{1}$,$1.84 \times 10^{1}$
,5,$1.41 \times 10^{-2}$,$2.10 \times 10^{-1}$,$1.84 \times 10^{-1}$,$1.47 \times 10^{2}$,$7.00 \times 10^{2}$,$7.01 \times 10^{2}$,$7.99 \times 10^{2}$
,6,$2.00 \times 10^{-2}$,$2.46 \times 10^{-1}$,$2.13 \times 10^{-1}$,$5.05 \times 10^{1}$,$6.70 \times 10^{2}$,$2.05 \times 10^{2}$,$2.37 \times 10^{2}$
,7,$1.41 \times 10^{-2}$,$9.45 \times 10^{-2}$,$4.43 \times 10^{-2}$,$2.53 \times 10^{1}$,$1.04 \times 10^{3}$,$2.67 \times 10^{2}$,$5.70 \times 10^{2}$
Fixed $t=1.5/L$,1,$1.50 \times 10^{-2}$,$9.91 \times 10^{1}$,$9.84 \times 10^{1}$,$7.64 \times 10^{2}$,$6.68 \times 10^{1}$,7.71,7.76
,2,,$1.42 \times 10^{1}$,$1.41 \times 10^{1}$,$2.01 \times 10^{2}$,$1.55 \times 10^{2}$,$1.41 \times 10^{1}$,$1.42 \times 10^{1}$
,3,,4.88,4.83,$4.97 \times 10^{1}$,$2.61 \times 10^{2}$,$1.02 \times 10^{1}$,$1.03 \times 10^{1}$
,4,,2.02,2.00,$2.53 \times 10^{1}$,$3.84 \times 10^{2}$,$1.25 \times 10^{1}$,$1.27 \times 10^{1}$
,5,,$9.54 \times 10^{-1}$,$9.42 \times 10^{-1}$,$1.56 \times 10^{1}$,$7.69 \times 10^{2}$,$1.64 \times 10^{1}$,$1.66 \times 10^{1}$
,6,,$4.92 \times 10^{-1}$,$4.75 \times 10^{-1}$,$1.06 \times 10^{1}$,$1.08 \times 10^{3}$,$2.16 \times 10^{1}$,$2.23 \times 10^{1}$
,7,,$2.79 \times 10^{-1}$,$2.51 \times 10^{-1}$,7.66,$1.05 \times 10^{3}$,$2.74 \times 10^{1}$,$3.05 \times 10^{1}$
