Alg,K,QCQP Obj,QCQP best bound,QCQP gap,QCQP solve time(s)
ISTA,1,2.24,2.26,$9.46 \times 10^{-1}$,2.96
,2,1.30,1.34,3.09,$3.60 \times 10^{3}$
,3,$9.14 \times 10^{-1}$,1.08,$1.81 \times 10^{1}$,$3.60 \times 10^{3}$
,4,$6.90 \times 10^{-1}$,1.50,$1.18 \times 10^{2}$,$3.60 \times 10^{3}$
,5,$5.46 \times 10^{-1}$,2.74,$4.03 \times 10^{2}$,$3.60 \times 10^{3}$
,6,$4.46 \times 10^{-1}$,1.58,$2.55 \times 10^{2}$,$3.60 \times 10^{3}$
,7,$3.54 \times 10^{-1}$,$1.08 \times 10^{1}$,$2.95 \times 10^{3}$,$3.60 \times 10^{3}$
FISTA,1,2.24,2.26,$9.46 \times 10^{-1}$,3.27
,2,1.30,1.34,3.10,$3.60 \times 10^{3}$
,3,1.50,1.66,$1.02 \times 10^{1}$,$3.60 \times 10^{3}$
,4,1.59,2.27,$4.32 \times 10^{1}$,$3.60 \times 10^{3}$
,5,1.55,2.17,$3.99 \times 10^{1}$,$3.60 \times 10^{3}$
,6,1.12,$2.89 \times 10^{2}$,$2.58 \times 10^{4}$,$3.60 \times 10^{3}$
,7,$1.98 \times 10^{-1}$,$6.75 \times 10^{3}$,$3.40 \times 10^{6}$,$3.60 \times 10^{3}$
