rho,K,SDP obj.,Sample obj.,PEP obj.,SDP solvetime(s),SDP improv.,Samp improv.
Scalar,1,$3.70 \times 10^{1}$,$3.68 \times 10^{1}$,$3.94 \times 10^{2}$,$4.56 \times 10^{1}$,90.62,90.67
,2,$3.54 \times 10^{1}$,$3.49 \times 10^{1}$,$7.39 \times 10^{1}$,$1.93 \times 10^{2}$,52.08,52.76
,3,$1.34 \times 10^{1}$,$1.33 \times 10^{1}$,$2.18 \times 10^{1}$,$5.83 \times 10^{2}$,38.52,39.03
,4,7.78,7.71,$1.03 \times 10^{1}$,$1.50 \times 10^{3}$,24.68,25.41
,5,5.47,5.41,6.44,$3.42 \times 10^{3}$,15.07,16.06
,6,3.87,3.80,4.41,$7.12 \times 10^{3}$,12.23,13.72
Diagonal,1,$3.70 \times 10^{1}$,$3.68 \times 10^{1}$,,$4.58 \times 10^{1}$,,
,2,$8.07 \times 10^{1}$,$7.99 \times 10^{1}$,,$2.06 \times 10^{2}$,,
,3,5.96,5.70,,$6.26 \times 10^{2}$,,
,4,$3.15 \times 10^{-1}$,$2.17 \times 10^{-1}$,,$1.75 \times 10^{3}$,,
,5,$1.16 \times 10^{-1}$,$2.70 \times 10^{-2}$,,$2.92 \times 10^{3}$,,
,6,$1.01 \times 10^{-1}$,$3.98 \times 10^{-3}$,,$6.66 \times 10^{3}$,,
