t,K,SDP obj.,Sample obj.,PEP obj.,SDP solvetime(s),SDP improv.,Samp improv.
,10,$9.90 \times 10^{-3}$,$2.03 \times 10^{-6}$,3.25,$1.15 \times 10^{3}$,$3.29 \times 10^{2}$,$1.60 \times 10^{6}$
0.02,1,$2.64 \times 10^{2}$,$2.62 \times 10^{2}$,$7.54 \times 10^{2}$,$7.63 \times 10^{1}$,2.86,2.88
,2,$3.34 \times 10^{1}$,$3.31 \times 10^{1}$,$7.54 \times 10^{2}$,$1.60 \times 10^{2}$,$2.26 \times 10^{1}$,$2.28 \times 10^{1}$
,3,9.24,9.11,$7.54 \times 10^{2}$,$2.68 \times 10^{2}$,$8.16 \times 10^{1}$,$8.27 \times 10^{1}$
,4,2.78,2.74,$7.54 \times 10^{2}$,$4.02 \times 10^{2}$,$2.71 \times 10^{2}$,$2.75 \times 10^{2}$
,5,$8.69 \times 10^{-1}$,$8.52 \times 10^{-1}$,$7.54 \times 10^{2}$,$7.29 \times 10^{2}$,$8.67 \times 10^{2}$,$8.84 \times 10^{2}$
,6,$2.87 \times 10^{-1}$,$2.71 \times 10^{-1}$,$7.54 \times 10^{2}$,$1.20 \times 10^{3}$,$2.62 \times 10^{3}$,$2.78 \times 10^{3}$
,7,$1.45 \times 10^{-1}$,$8.80 \times 10^{-2}$,$7.54 \times 10^{2}$,$5.99 \times 10^{2}$,$5.19 \times 10^{3}$,$8.56 \times 10^{3}$
,8,$6.48 \times 10^{-2}$,$2.92 \times 10^{-2}$,$7.54 \times 10^{2}$,$5.34 \times 10^{2}$,$1.16 \times 10^{4}$,$2.58 \times 10^{4}$
,9,$7.37 \times 10^{-2}$,$9.96 \times 10^{-3}$,$7.54 \times 10^{2}$,$9.48 \times 10^{2}$,$1.02 \times 10^{4}$,$7.56 \times 10^{4}$
,10,$6.07 \times 10^{-2}$,$3.52 \times 10^{-3}$,$7.54 \times 10^{2}$,$1.18 \times 10^{3}$,$1.24 \times 10^{4}$,$2.14 \times 10^{5}$
